employee_id,department,workload,work_life_balance,team_conflict,management_support,work_environment,stress_level
EMP0001,HR,9,10,3,5,5,13
EMP0002,Finance,8,4,7,6,2,15
EMP0003,Finance,10,5,4,7,5,21
EMP0004,Marketing,1,10,9,6,1,52
EMP0005,IT,1,8,5,7,10,28
EMP0006,Operations,8,4,9,6,4,72
EMP0007,IT,5,9,8,8,9,76
EMP0008,IT,7,4,4,3,6,17
EMP0009,HR,5,3,10,5,2,4
EMP0010,HR,5,10,4,4,7,31
EMP0011,HR,1,4,10,9,7,65
EMP0012,Finance,7,2,10,10,6,4
EMP0013,Operations,3,9,3,4,10,83
EMP0014,Marketing,2,2,7,2,4,65
EMP0015,HR,4,4,10,3,6,61
EMP0016,HR,8,5,6,7,5,54
EMP0017,IT,5,10,10,4,10,84
EMP0018,Finance,5,2,5,8,3,23
EMP0019,Marketing,1,7,3,10,3,55
EMP0020,Finance,1,1,6,6,6,49
EMP0021,IT,10,8,8,6,8,67
EMP0022,IT,5,7,3,6,8,77
EMP0023,Finance,1,5,1,9,5,20
EMP0024,IT,7,5,3,2,5,3
EMP0025,Finance,5,5,1,5,10,39
EMP0026,Finance,1,7,2,9,8,6
EMP0027,Marketing,5,8,5,6,5,97
EMP0028,Finance,7,3,2,7,2,57
EMP0029,HR,8,10,5,8,10,40
EMP0030,Operations,7,10,9,9,3,30
EMP0031,Finance,6,2,7,2,3,13
EMP0032,IT,4,3,7,2,8,26
EMP0033,Finance,4,8,5,7,7,80
EMP0034,HR,4,9,8,6,1,56
EMP0035,IT,9,10,2,3,1,92
EMP0036,Finance,1,4,9,7,10,60
EMP0037,HR,6,10,9,8,1,57
EMP0038,Marketing,10,4,1,9,5,94
EMP0039,Finance,4,1,5,4,3,30
EMP0040,Operations,1,7,3,2,7,98
EMP0041,Finance,8,2,5,7,1,53
EMP0042,Finance,7,8,1,8,7,35
EMP0043,HR,4,2,10,2,9,51
EMP0044,HR,2,4,2,2,7,87
EMP0045,IT,2,5,4,6,5,85
EMP0046,Finance,5,5,5,10,9,32
EMP0047,HR,5,3,7,1,2,41
EMP0048,HR,5,5,5,1,8,47
EMP0049,Marketing,2,4,6,3,7,19
EMP0050,Operations,1,10,4,2,5,4
EMP0051,Marketing,8,4,3,8,3,35
EMP0052,Finance,6,10,3,4,5,70
EMP0053,IT,3,6,7,8,1,75
